nuclide,"(n,gamma)","(n,2n)","(n,p)","(n,a)","(n,3n)","(n,4n)",fission
Cr52,0.07828549990962025,1.5025979493829946e-05,0.000364846725408675,4.3316638008455125e-05,0.0,0.0,0.0
Cr53,1.5725714554706984,0.0003518836185564362,0.00014059620887103868,0.0002969810628678999,0.0,0.0,0.0
Cr54,0.037237143388383166,0.0001519199117008767,3.002531244835641e-06,1.7091476635754245e-05,0.0,0.0,0.0
Mn55,1.3905546837383618,7.942034029279718e-05,8.964398150544034e-05,1.4807914173778114e-05,6.767186957366378e-12,0.0,0.0
Fe54,0.2030182660005987,5.323912292312884e-07,0.027281766990619138,0.0003166965480801818,0.0,0.0,0.0
Fe56,0.23112616822546914,2.752814509381585e-05,0.00036273902575404776,0.00015332996448296404,0.0,0.0,0.0
Fe57,0.2235069758441316,0.0005281646842579696,0.00025504335518567817,0.00035600146123773344,0.0,0.0,0.0
Fe58,0.1327954558748225,0.0001216569049568971,3.3778014250660636e-06,2.2564260462636186e-05,0.0,0.0,0.0
Co58,315.48010178189,0.00024065599277922097,4.067908398917469,0.001901476612583588,0.0,0.0,0.0
Co58_m1,11866.463777402949,0.0002774219581372575,4213.123408638236,0.0019929364188272488,0.0,0.0,0.0
Co59,5.036814097306331,6.895600216669141e-05,0.0004882795789700915,5.411169548659139e-05,0.0,0.0,0.0
Ni58,0.37183812776174197,1.38334448092055e-06,0.03603851844172525,0.0021019639656604324,0.0,0.0,0.0
Ni59,9.715584359178264,8.911149371751565e-05,0.25667227701617246,1.6222737489517007,0.0,0.0,0.0
Ni60,0.21596210172965793,2.0927983765569174e-05,0.0006814248913379061,0.0005875555441175763,0.0,0.0,0.0
Ni61,0.2653966630528964,0.000331306003112701,0.0010557584036244938,0.0008615093774134538,0.0,0.0,0.0
Ni62,1.307349294092166,7.406498588294288e-05,1.2253305692243236e-05,1.8039497122077682e-05,0.0,0.0,0.0
Ni64,0.1348913423407952,0.00018460015157712465,3.7359962504021096e-07,3.815431073902891e-06,0.0,0.0,0.0
Cu63,0.484845209021672,3.331779715795719e-05,0.006871215734887383,0.00018300398935746203,0.0,0.0,0.0
Cu65,0.2304742438312172,0.00011829519148932,0.00019340261967345262,4.657405930628507e-06,0.0,0.0,0.0
Zn64,0.1106991452751663,6.273219508342984e-06,0.011953494924256056,0.006199209498550708,0.0,0.0,0.0
Zn65,6.292950563401101,0.00035011531252430246,0.20402198871358135,0.4313886210819724,0.0,0.0,0.0
Zn66,0.08072550515002191,4.8504639689271065e-05,0.00039244202178308706,0.00046062570746751094,3.169231511390477e-11,0.0,0.0
Zn67,1.3346091518395953,0.0009036084756721472,0.0003209310155065876,0.0010314185456669553,2.561654610506904e-09,0.0,0.0
Zn68,0.17947948716910922,0.00011895060649455078,1.4547617963192536e-05,2.807361661355359e-05,9.462325777839818e-09,0.0,0.0
Zn70,0.011424412161195403,0.0002508360673251326,1.0904922342419314e-06,3.6734086688672583e-06,1.0543259228000473e-07,0.0,0.0
Ga69,0.6474257455480442,7.455223806695135e-05,0.0008829783728320829,0.00015077138046310794,0.0,0.0,0.0
Ga71,1.3782919628341321,0.0001305043512154893,2.197010596947737e-05,4.803659993409669e-06,1.7011551048118846e-08,0.0,0.0
Ge70,0.31392012105578115,2.8366570461649004e-05,0.0009557858618712438,0.0011925374603977078,0.0,0.0,0.0
Ge72,0.10020328323852305,7.67443284345468e-05,5.711355264693429e-05,3.2752116977728205e-05,1.3867466863272204e-09,0.0,0.0
Ge73,2.737807797100587,0.0007965391440937688,3.0073368049797373e-05,4.1728586203282765e-05,1.3509067970390827e-08,0.0,0.0
Ge74,0.06298656177121559,0.0001361269587223447,3.280897741409319e-06,2.0244620884643002e-06,1.662877660517353e-08,0.0,0.0
Ge76,0.05708553584761157,0.0002614232859466885,4.209400559951882e-07,6.232061126273514e-08,1.1616902957384428e-07,0.0,0.0
As74,8.11158882029858,0.0006948835183381921,0.027060950735592712,0.0005308461849769619,1.8424248820025853e-10,0.0,0.0
As75,2.318867393675036,0.00010900382269335661,0.0001605549293929803,1.0300686571244196e-05,2.640462964960491e-09,0.0,0.0
Se74,20.58420927964659,1.5131857635125964e-05,0.0059829463785096015,0.0014490981276836152,0.0,0.0,0.0
Se76,7.441531244305426,6.342750865167217e-05,0.00021281696682350293,8.844158080644592e-05,1.7709818064466013e-10,0.0,0.0
Se77,4.070445013207992,0.0014082253353559849,0.00029701720232397697,0.00023857256920300463,4.122312817843591e-09,0.0,0.0
Se78,0.19656628978555818,0.00011591277440451748,7.61937559933096e-06,5.940146251835339e-06,2.6504239393277186e-08,0.0,0.0
Se79,5.509283169351664,0.0023579483099380933,9.209497869130233e-06,2.666924803888718e-05,4.2905715855485845e-08,0.0,0.0
Se80,0.08123149431877019,0.0002179336914234559,2.027499059002699e-06,3.7981011056228583e-06,1.3434383788268334e-07,0.0,0.0
Se82,0.014532221456895844,0.0003275448075852159,1.744967649673329e-07,2.117804719381222e-08,4.4015194287132944e-07,0.0,0.0
Br79,4.268028345522164,8.660239580527707e-05,0.0015025992454862636,1.9032885659163463e-05,1.2282943385913677e-09,0.0,0.0
Br81,1.8240734883245802,0.0001543708356353968,7.825342775656743e-05,1.284886565502144e-06,1.800139660272132e-08,0.0,0.0
Kr78,1.326855534715765,1.0318159168201689e-05,0.008677867341587832,0.00029131590508943986,0.0,0.0,0.0
Kr80,2.6593758120524247,4.7288858507476696e-05,0.00041359871778284905,6.484143731107217e-05,0.0,0.0,0.0
Kr82,5.796930800626005,8.204212295152469e-05,3.134526447415321e-05,7.982167485597161e-06,1.5690747539782192e-09,0.0,0.0
Kr83,19.91066727527418,0.0010601032292053797,4.116149766798893e-05,2.0684925753770076e-06,3.44422270964775e-10,0.0,0.0
Kr84,0.06404142087741423,0.0001078560493085468,2.894875589020019e-06,5.511998715513929e-07,1.7404300272441402e-08,0.0,0.0
